========================================13/11/2022 09:59:51========================================
Step:1/5000 -- 40/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.008E+00 / 2.028E-01 / 7.948E-01 Valid: 2.688E+00 / 2.011E-01 / 7.957E-01
Step:1/5000 -- 41/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.000E+00 / 2.021E-01 / 7.950E-01 Valid: 2.506E+00 / 1.968E-01 / 7.837E-01
Step:1/5000 -- 42/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.986E+00 / 2.005E-01 / 7.968E-01 Valid: 2.480E+00 / 1.992E-01 / 7.975E-01
Step:1/5000 -- 43/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.977E+00 / 2.008E-01 / 7.953E-01 Valid: 2.660E+00 / 2.076E-01 / 8.049E-01
Step:1/5000 -- 44/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.960E+00 / 2.036E-01 / 7.919E-01 Valid: 2.632E+00 / 2.029E-01 / 7.962E-01
Step:1/5000 -- 45/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.968E+00 / 2.019E-01 / 7.960E-01 Valid: 2.502E+00 / 1.977E-01 / 7.793E-01
Step:1/5000 -- 46/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.991E+00 / 2.007E-01 / 7.942E-01 Valid: 2.488E+00 / 2.016E-01 / 8.026E-01
Step:1/5000 -- 47/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.971E+00 / 2.001E-01 / 7.935E-01 Valid: 2.407E+00 / 2.031E-01 / 7.743E-01
Step:1/5000 -- 48/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.997E+00 / 2.019E-01 / 7.920E-01 Valid: 2.533E+00 / 1.926E-01 / 7.881E-01
Step:1/5000 -- 49/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.006E+00 / 1.993E-01 / 7.878E-01 Valid: 2.442E+00 / 1.930E-01 / 7.914E-01
Step:1/5000 -- 50/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.944E+00 / 2.001E-01 / 7.946E-01 Valid: 2.445E+00 / 2.066E-01 / 8.080E-01
Step:1/5000 -- 51/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.942E+00 / 2.031E-01 / 7.931E-01 Valid: 2.355E+00 / 1.877E-01 / 7.853E-01
Step:1/5000 -- 52/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.982E+00 / 1.986E-01 / 7.873E-01 Valid: 2.374E+00 / 1.963E-01 / 7.814E-01
